raw institutional statement,Attribute,Object,Deontic,Aim,Condition,Or else
the council consists of thirteen members as follows a the executive director or his or her designee of each of the following state departments i the department of public health and environment ii the department of agriculture iii the department of human services iv the department of education b nine members appointed by the governor who represent and have expertise in one of five functional areas of food systems as follows i two members who represent nutrition and health ii three members who represent agricultural production iii two members who represent food wholesalers or food retailers iv one member who represents anti-hunger and food assistance programs v one member who is knowledgeable about a local state or federal agency and who has expertise in rural community and regional development programs or community and economic development programs,council,thirteen members,,consists of,as a the executive director or his or her designee of each of the following state the department of public health and the department of the department of human the department of nine members appointed by the governor who represent and have expertise in one of five functional areas of food systems as two members who represent nutrition and health three members who represent agricultural two members who represent food wholesalers or food one member who represents anti-hunger and food assistance programs one member who is knowledgeable about a local state or federal agency and who has expertise in rural community and regional development programs or community and economic development programs,
in making appointments to the council the governor shall ensure that the membership of the council includes geographic representation from all areas of the state,governor,that the membership of the council includes geographic representation from all areas of the state,shall,ensure,in making appointments to the council,
the governor shall also consider appointing persons who have expertise in more than one functional area,governor,persons who have expertise in more than one functional area,shall,consider appointing,also,
no more than five members of the council appointed by the governor shall be members of the same political party,governor,no more than five members of the council members of the same political party,shall,appointed,,
each member of the council who is appointed pursuant to subsection 2 of this section shall serve at the pleasure of the appointing authority who appointed the member,each member of the council who is appointed pursuant to subsection 2 of this section,,shall,serve,at the pleasure of the appointing authority who appointed the member,
each member of the council shall serve a three-year term except,each member of the council,a three-year term,shall,serve,except,
that the governor shall appoint four members to serve two-year terms,governor,four members to serve two-year terms,shall,appoint,,
the appointing authorities shall make their initial appointments to the council no later than october 1 2010,appointing authorities,their initial appointments to the council,shall,make,no later than october 1 2010,
any vacancy on the council shall be filled in the same manner in which the original appointment was made,,any vacancy on the council,shall,be filled,in the same manner in which the original appointment was made,
and the term shall be for the balance of the unexpired term of the member whose term is vacant,,,shall,,for the balance of the unexpired term of the member whose term is vacant,
a majority of the members of the council shall elect a chair and a vice-chair,the members of the council,chair and a vice-chair,shall,elect,a majority of a,
who shall serve for two-year terms,,,shall,serve,for two-year terms,
a member of the council who is an executive director of a state department or his or her designee may be elected to be a chair or a vice-chair of the council,member of the council,who is an executive director of a state department or his or her designee of the council,may,be elected,to be a chair or a vice-chair,
but both positions shall not be held at the same time by members who are executive directors of state departments or their designees,members who are executive directors of state departments or their designees,both positions,shall not,be held,at the same time,
each member of the council shall serve without compensation,each member of the council,,shall,serve,without compensation,
but may be reimbursed from the food systems advisory council fund created in section 24-37.3-105 for actual and necessary subsistence and travel expenses incurred in the performance of his or her duties as a member of the council,a member of the council,,may,be reimbursed,from the food systems advisory council fund created in section 24-37.3-105 for actual and necessary subsistence and travel expenses incurred in the performance of his or her duties as,
the chair shall call the meetings,chair,the meetings,shall,call,,
and notify the members of each meeting being called at least seven days in advance,,members of each meeting being called,,notify,at least seven days in advance,
meetings shall be held as often as the chair deems necessary but not less than four times each calendar year,the chair,meetings,shall,be held,as often as deems necessary but not less than four times each calendar year,
a quorum for the transaction of business consists of seven members of the council,seven members of the council,a quorum for the transaction of business,,consists,,
1 the purpose of the council is to a identify and use existing studies of the food system and examples of best practices whenever possible,,,,,,
b work with other task forces committees or organizations that are pursuing initiatives or studies similar to the purposes and duties outlined in this article,,,,,,
and develop relationships with other task forces committees or organizations to collaborate on similar efforts,,,,,,
c develop local food recommendations that promote the building of robust resilient and long-term local food economies,,,,,,
d develop recommendations regarding hunger and food access,,,,,,
e collaborate with serve as a resource to and receive input from local and regional food policy councils in the state,,,,,,
f collaborate with the department of agriculture in promoting the marketing program known as colorado proud which helps consumers restaurants and retailers to identify and purchase colorado food and agricultural products and,,,,,,
g develop recommendations for actions that state and local governments businesses agriculturists and consumers can take to build robust resilient and long-term local food economies,,,,,,
2 in developing its recommendations the council shall consider but not be limited to the following areas of interest a i an examination of foods made available to children including those in public schools and consideration of ways to improve the nutritional quality of those foods and increase children 's access to locally grown foods,,,,,,
b a study of efforts to make local healthy and safe foods available under public assistance programs including the possibility of using electronic benefit cards for the supplemental nutrition assistance program snap and federal farmers ' market nutrition program fmnp coupons at local farmers ' markets c an in-depth examination of local and regional efforts to strengthen and develop robust resilient and long-term local food economies by supporting and promoting urban suburban and rural agricultural production identifying and developing solutions to regulatory and policy barriers and strengthening local infrastructure and entrepreneurial efforts d the potential impacts that the production of local healthy and safe foods would have on economic development in colorado including both the direct impacts for the producers of local food and the actual and potential indirect impacts such as encouraging restaurants to feature locally raised agricultural products and promoting food and wine tourism and e any other issues the council by consensus considers pertinent,,,,,,
in designing recommendations to improve school nutrition and increase access to locally grown foods the council shall incorporate input from and coordinate with the work of the colorado campaign to end childhood hunger by 2015 initiated by executive order of the governor,council,the colorado campaign to end childhood hunger by 2015 initiated by executive order of the governor,shall,incorporate input from and coordinate with,in designing recommendations to improve school nutrition and increase access to locally grown foods,
the council may create subcommittees as the council deems necessary to carry out the work of the council,the council,subcommittees,may,create,as the council deems necessary to carry out the work of the council,
these subcommittees may include but are not limited to i local and regional food councils ii local government iii school districts the members of which shall include persons with expertise in nutrition and in school financing and iv a coordination subcommittee to collaborate with other task forces committees and organizations including the interagency farm-to-school coordination task force created in section 22-82.6-104 c.r.s.,,local and regional food local government school districts the members of which shall include persons with expertise in nutrition and in school financing a coordination subcommittee to collaborate with other task forces committees and organizations including the interagency farm-to-school coordination task force created in section 22-82.6-104,may,include,these subcommittees,
the subcommittees shall include representatives of the council,,representatives of the council,shall,include,the subcommittees,
and may include persons appointed by the chair and the vice-chair of the council who are not members of the council,,persons appointed by the chair and the vice-chair of the council who are not members of the council,may,include,,
the council may engage in any other activity the council determines is necessary to accomplish the purposes outlined in this article,the council,in any other activity the council determines is necessary to accomplish the purposes outlined in this article,may,engage,,
for the purposes of carrying out the duties of the council the council is authorized to seek and accept gifts grants or donations including in-kind donations from private or public sources for the purposes of this article,the council the council,gifts grants or donations including in-kind donations from private or public sources for the purposes of this article,authorized,seek and accept,,
... except that the council may not accept a gift grant or donation that is subject to conditions that are inconsistent with this article or any other law of the state,the council,a gift grant or donation that is subject to conditions that are inconsistent with this article or any other law of the,may not,accept,,
the council may accept in-kind donations of staff services from the private sector to staff the council,council,in-kind donations of staff services from the private sector to staff the council,may,accept,,
the council is also authorized to accept and expend federal funds available for food policy councils,council,federal funds available for food policy councils,authorized,accept and expend,,
all private and public moneys received through gifts grants or donations shall be transmitted to the state treasurer,,all private and public moneys received through gifts grants or donations,shall,be transmitted,to the state treasurer,
who shall credit the same to the food systems advisory council fund which fund is hereby created and referred to in this section as the fund,,same,shall,credit,to the food systems advisory council fund which fund is hereby created and referred to in this section as the fund,
the moneys in the fund shall be subject to annual appropriation by the general assembly to the department of agriculture for allocation to the council for the direct and indirect costs associated with implementing this article,general assembly to the department of agriculture,moneys in the fund,shall,be subject,to annual appropriation by the for allocation to the council for the direct and indirect costs associated with implementing this article,
any moneys in the fund not expended for the purpose of this article may be invested by the state treasurer as provided by law,state treasurer,any moneys in the fund not expended for the purpose of this article,may,be invested,as provided by law,
all interest and income derived from the investment and deposit of moneys in the fund shall be credited to the fund,,all interest and income derived from the investment and deposit of moneys in the fund,shall,be credited,to the fund,
any unexpended and unencumbered moneys remaining in the fund at the end of a fiscal year shall remain in the fund,,any unexpended and unencumbered moneys remaining in the fund at the end of a fiscal year,shall,remain,,
and shall not revert or be credited or transferred to the general fund or another fund,,,shall not,revert or be credited or transferred,to the general fund or another fund,
except that if at the time this article is repealed pursuant to section 24-37.3-107 the fund contains a balance of unencumbered and unexpended moneys those moneys shall revert to the general fund,,,shall,revert,if at the time this article is repealed pursuant to section 24-37.3-107 the fund contains a balance of unencumbered and unexpended moneys,
moneys in the fund may be used for the following purposes a the actual and necessary expenses incurred by members of the council for serving on the council b the costs of staffing the council and c the costs of preparing and submitting the annual report required by section 24-37.3-106,,moneys in the fund,may,be used,for the following the actual and necessary expenses incurred by members of the council for serving on the council the costs of staffing the council and the costs of preparing and submitting the annual report required by section,
it is the intent of the general assembly that no moneys from the general fund be appropriated for the council,,moneys from the general fund,,be appropriated,for the council,
it is also the intent of the general assembly that no state employees be hired to implement this article,,state employees,,be hired,to implement this article,
... and that the administrative costs of providing fiscal support to the council be absorbed by the department of agriculture,department of agriculture,the administrative costs of providing fiscal support to the council,,be absorbed,,
if the council does not receive sufficient moneys through gifts grants and donations pursuant to subsection 1 of this section to carry out the duties of the council the council shall not meet,the council,,shall not,meet,if the council does not receive sufficient moneys through gifts grants and donations pursuant to subsection of this section to carry out the duties of the council,
and shall not prepare an annual report pursuant to section 24-37.3-106 until such time as sufficient moneys become available,,an annual report pursuant to section 24-37.3-106,shall not,prepare,until such time as sufficient moneys become,
commencing october 1 2011 and on or before october 1 of each year thereafter the council shall report its findings and recommendations including any legislative proposals or proposals for administrative action to the general assembly the governor and the commissioner of agriculture pursuant to section 24-1-136 9,council,its findings and recommendations including any legislative proposals or proposals for administrative action,shall,report,commencing october 1 2011 and on or before october 1 of each year thereafter to the general assembly the governor and the commissioner of agriculture pursuant to section 24-1-136,
no later than january 31 2012 and every january thereafter the council shall also report its findings and recommendations including any legislative proposals to the house health and human services committee the senate health and human services committee the house agriculture livestock and natural resources committee and the senate agriculture and natural resources committee or their successor committees,council,its findings and recommendations including any legislative proposals,shall,report,no later than january 31 2012 and every january thereafter to the house health and human services committee the senate health and human services committee the house agriculture livestock and natural resources committee and the senate agriculture and natural resources committee or their successor,
this article is repealed effective july 1 2013,,,,,,
prior to such repeal the food systems advisory council shall be reviewed as provided for in section 2-3-1203 c.r.s.,,,,,,
"in addition to any other appropriation there is hereby appropriated out of any moneys in the food systems advisory council fund created in section 24-37.3-105 colorado revised statutes not otherwise appropriated to the department of agriculture for allocation to the colorado food systems advisory council for the fiscal year beginning july 1 2010 the sum of twenty-two thousand five hundred thirty-one dollars $ 22,531 cash funds or so much thereof as may be necessary for the implementation of this act",,,,,,
there is established the connecticut food policy council which shall be within the department of agriculture,,,,,,
b the council shall consist of the following members 1 one appointed by the majority leader of the senate who shall be involved in agriculture or in an agriculture organization 2 one appointed by the president pro tempore of the senate who shall be involved in an antihunger organization 3 one appointed by the minority leader of the senate who shall represent the cooperative extension service 4 one appointed by the minority leader of the house of representatives who shall be a food retailer 5 one appointed by the speaker of the house of representatives who shall be involved in agriculture or in an agriculture organization 6 one appointed by the majority leader of the house of representatives who shall be a produce wholesaler 7 the commissioner of agriculture or his designee 8 the commissioner of administrative services or his designee 9 the commissioner of education or his designee 10 the commissioner of transportation or his designee 11 the commissioner of public health or his designee 12 the commissioner of social services or his designee 13 the head of each state department as defined in section 5-Apr who is not one of the commissioners designated in subdivisions 7 to 12 inclusive of this subsection who shall be members ex officio without the right to vote and 14 the chairman of the joint standing committee of the general assembly having cognizance of matters relating to the environment who shall be a member ex officio without the right to vote,council,the following members one appointed by the majority leader of the senate who shall be involved in agriculture or in an agriculture one appointed by the president pro tempore of the senate who shall be involved in an antihunger organization one appointed by the minority leader of the senate who shall represent the cooperative extension one appointed by the minority leader of the house of representatives who shall be a food one appointed by the speaker of the house of representatives who shall be involved in agriculture or in an agriculture one appointed by the majority leader of the house of representatives who shall be a produce the commissioner of agriculture or his the commissioner of administrative services or his the commissioner of education or his the commissioner of transportation or his the commissioner of public health or his the commissioner of social services or his the head of each state department as defined in section 5-Apr who is not one of the commissioners designated in subdivisions to inclusive of this subsection who shall be members ex officio without the right to and the chairman of the joint standing committee of the general assembly having cognizance of matters relating to the environment who shall be a member ex officio without the right to,shall,consist of,,
the council shall elect a chairperson and a vice-chairperson from among its members,council,a chairperson and a vice-chairperson,shall,elect,from among its members,
any person absent from a three consecutive meetings of the commission or b fifty per cent of such meetings during any calendar year shall be deemed to have resigned from the council effective immediately,,any person absent from three consecutive meetings of the commission or fifty per cent of such meetings during any calendar year,shall,be deemed,effective immediately,
vacancies on the council shall be filled by the appointing authority,appointing authority,vacancies on the council,shall,be filled,,
members of the council serve without ompensation,members of the council,,,serve,without ompensation,
but shall within the limits of available funds be reimbursed for expenses necessarily incurred in the performance of their duties,,,shall,be reimbursed,within the limits of available funds for expenses necessarily incurred in the performance of their duties,
the council shall meet as often as deemed necessary by the chairperson or a majority of the council,council,,shall,meet,as often as deemed necessary by the chairperson or a majority of the council,
the council shall 1 develop coordinate and implement a food system policy linking local economic development environmental protection and preservation with farming and urban issues,council,a food system policy linking local economic development environmental protection and preservation with farming and urban issues,shall,develop coordinate and implement,,
the council shall review and comment on any proposed state legislation and regulations that would affect the food policy system of the state,council,any proposed state legislation and regulations that would affect the food policy system of the state,shall,review and comment on,,
the council shall advise on the state 's food policy,council,,shall,advise,on the state food policy,
the council shall provide information to the governor on the state 's food policy,council,information on the state food policy,shall,provide,to the governor,
the council shall prepare annual report concerning its activities with any appropriate recommendations concerning food policy,council,annual report concerning its activities with any appropriate recommendations concerning food policy,shall,prepare,,
the council shall submit to the joint standing committee of the general assembly having cognizance of matters relating to the environment an annual report concerning its activities with any appropriate recommendations concerning food policy,council,annual report concerning its activities with any appropriate recommendations concerning food policy,shall,submit,to the joint standing committee of the general assembly having cognizance of matters relating to the environment,
the council may use such funds as may be available from federal state or other sources to carry out the purposes of this section,council,such funds as may be available from federal state or other sources,may,use,to carry out the purposes of this section,
the council may enter into contracts to carry out the purposes of this section,council,into contracts to carry out the purposes of this section,may,enter,,
purpose and duties of the council increase food production in the city & county of denver enhance the food security of all denver residents improve access to locally produced food improve the economic viability of urban agriculture in denver recognize and enhance the role of the food and agriculture system in conserving and regenerating denver 's natural resources and environment improve health for all of denver 's residents build awareness about the community impacts of local healthy food access and encourage participation in denver 's local food system,,,,,,
members shall be appointed by the mayor,mayor,members,shall,be appointed,,
and shall serve three year terms,,three year terms,shall,serve,,
the terms of each member shall be staggered so as to commence at one year intervals following the initial appointment,,terms of each member,shall,be staggered,so as to commence at one year intervals following the initial appointment,
which shall be for one two and three year terms,,,shall,,for one two and three year terms,
members shall serve without compensation,members,,shall,serve,without compensation,
the staff person for this committee will be a representative from environmental health as designated by the mayor 's office,staff person for this committee,a representative from environmental health as designated by the mayor office,will,be,,
the chairperson for this committee will be designated by the mayor 's office,mayor office,the chairperson for this committee,will,be designated,,
appointment candidates one member representing denver urban gardens one member representing independent small grocers one member representing supermarkets two members representing front range farmers one member representing the colorado restaurant association one member representing denver public schools one member representing denver housing authority one member representing the urban land conservancy one member representing the colorado health foundation one member representing the center for nurtition & health one member representing live well colorado two members reprenting the food justice non-profit community two members representing the local food urban agriculture community two members representing the community at large gates family foundation,,,,,,
the douglas food policy council henceforth is hereby established as a joint advisory council to the city and council,,,,,,
the dcfpc seeks to identify the benefits challenges and opportunities for a successful sutainable local food system in lawrence and douglas county,dcfpc,,,seeks,to identify the benefits challenges and opportunities for a successful sutainable local food system in lawrence and douglas county,
the dcfpc will serve as a forum for discussion and coordination for community wide efforts to improve the community 's access to local food supplies and distribution networks,dcfpc,,will,serve,as a forum for discussion and coordination for community wide efforts to improve the community access to local food supplies and distribution networks,
therefore the dcfpc will focus on the following priority areas a economic development and entrepreneurial opportunities related to local food production and consumption and b improve health outcomes and c positive environmental quality impacts and d increased acces to and distribution of wholesome local foods and e support for local food producers of sustainable food products and f identification preservation and/or sustainable development of local resources including soil agricultural land important breeders/cultivars water skilled labor capital and markets and g increased education and awareness on the part of douglas county residents regarding the benefits of locally produced foods,dcfpc,,will,focus,on the following priority economic development and entrepreneurial opportunities related to local food production and and improve health outcomes and positive environmental quality impacts and increased acces to and distribution of wholesome local foods and support for local food producers of sustainable food products and identification preservation and/or sustainable development of local resources including soil agricultural land important breeders/cultivars water skilled labor capital and markets and increased education and awareness on the part of douglas county residents regarding the benefits of locally produced foods,
there shall be 23 members on the dcfpc comprised as follows a county appointed three at large members one appointed by the county commissioner from each county commission district b city appointed two at-large members appointed by the lawrence city commission c county appointed three agricultural producers d city appointed one agricultural producer e county appointed one representative of a retail food outlet f city appointed two representatives of retail outlets g county appointed one institutional food producer h county appointed one representative from an educational institution or organization located within douglas county i county appointed one representative of the douglas county extension service j city appointed one representative of the city of lawrence sustainability advisory board k city appointed one person working in the area of hunger and food insecurity l county appointed one person representing a non-governmental organization working in the area of health nutrition or medical care m county appointed one person representing a non-government organization working in the area of agriculture or loca food systems n city appointed one representative of an established farmer 's market in douglas county o county appointed one representative of lawrence/douglas county chamber of commerce p county appointed one youth representative age 18-30 with demonstrated interest in food system issues q county appointed one person representing senior food and nutritional programs in douglas county,dcfpc,23 members on the comprised as follows a county appointed three at large members one appointed by the county commissioner from each county commission district city appointed two at-large members appointed by the lawrence city commission county appointed three agricultural producers city appointed one agricultural producer county appointed one representative of a retail food outlet city appointed two representatives of retail outlets county appointed one institutional food producer county appointed one representative from an educational institution or organization located within douglas county county appointed one representative of the douglas county extension service city appointed one representative of the city of lawrence sustainability advisory board city appointed one person working in the area of hunger and food insecurity county appointed one person representing a non-governmental organization working in the area of health nutrition or medical care county appointed one person representing a non-government organization working in the area of agriculture or loca food systems city appointed one representative of an established farmer market in douglas county county appointed one representative of lawrence/douglas county chamber of commerce county appointed one youth representative with demonstrated interest in food system issues county appointed one person representing senior food and nutritional programs in douglas county,shall,be,,
appointment of agricultural producers should strive for representation from both the kansas and wakarusa watersheds,,,should,strive,for representation from both the kansas and wakarusa watersheds,
and include a producer of animal protein a producer of specialty crops a commodity producer and at least one involved in direct marketing of products,,a producer of animal protein a producer of specialty crops a commodity producer and at least one involved in direct marketing of products,,include,,
appointment of retail food outlet representatives should strive for a balanced representation from retail grocery restaurant and emerging food businesses,,a balanced representation from grocery restaurant and emerging food businesses,should,strive,appointment of retail food outlet representatives retail,
term lengths and limits shall be governed as follows members should be appointed by the lawrence city commission or the douglas county commission for a term of three years,the lawrence city commission or the douglas county commission,members,should,be appointed,for a term of three years,
terms of service will begin at the start of the first meeting of the calendar year,,terms of service,will,begin,at the start of the first meeting of the calendar year,
in the event of a member 's inability to serve or resignation the responsible body shall appoint another person to serve for the remainder of the unexpired term so created,responsible body,another person,shall,appoint,in the event of a member inability to serve or resignation to serve for the remainder of the unexpired term so created,
no member shall serve more than two consecutive terms as a member except that a vacant unexpired terms may be filled by appointment of standing council members otherwise ineligible for reappointment and b if an appointment expired before the city commission or the county commission has appointed a replacement member then the member whose term has expired shall serve until a successor has been appointed,member,,shall,serve,more than two consecutive terms as a member except a vacant unexpired terms may be filled by appointment of standing council members otherwise ineligible for reappointment and if an appointment expired before the city commission or the county commission has appointed a replacement member then the member whose term has expired shall serve until a successor has been appointed,
council member attendance is expected at every meeting of the dcfpc,council member,every meeting of the dcfpc,is expected,attendance,,
in the event of three consecutive unexcused absences a council member may be asked to resign from the council,,a council member,may,be asked,in the event of three consecutive unexcused absences to resign,
both the city and county shall provide staff support to the dcfpc as available and necessary,city and county,staff support,shall,provide,to the dcfpc as available and necessary,
the dcfpc shall prepare bylaws to govern the commissioner 's structure and decision making process,dcfpc,bylaws to govern the commissioner structure and decision making process,shall,prepare,,
and shall submit said bylaws to the city and county for joint approval,,bylaws,shall,submit,to the city and county for joint approval,
all meetings of dcfpc shall be held in compliance with the kansas open meetings act,dcfpc,,shall,be held,in compliance with the kansas open meetings act,
and its records shall be subject to the kansas open records act,,,shall,be subject,to the kansas open records act,
either the city or county may withdraw its support for the dcfc,the city or county,its support for the dcfc,may,withdraw,,
and terminate the dcfpc 's role with respect to such body upon not less than thirty days notice to the other governmental body,,dcfpc role with respect to such,,terminate,the body upon not less than thirty days notice to the other governmental body,
the council shall be called the grant county food policy council,council,,shall,be called,grant county food policy council,
the purpose of the council is to integrate all departments of the county as well as a diverse group of public and private stakeholders in a collaborative effort to recommend policies implement projects create awareness and encourage partnerships to fulfill the county food policy,,,,,,
the council may a. monitor the availability access price and quality of food throughout grant county,council,the availability access price and quality of food throughout grant county,may,monitor,,
b. the council may collect data on the food security and nutritional status of county residents,council,data on the food security and nutritional status of county residents,may,collect,,
c. the council may through the issuance of reports and other communication inform county and policy makers administrators communities and the public at large about the status of the region 's food system and food security,council,county and policy makers administrators communities and the public at large,may,inform,through the issuance of reports and other communication about the status of the region food system and food security,
d. the council may monitor and analyze the administration of county food and nutrition programs,council,the administration of county food and nutrition programs,may,monitor and analyze,,
e. the council may explore new means for the county government and its communities to improve the food economy the availability accessibility and quality of food and assit the county government and its communities in the coordination of their efforts,council,new means for the county government and its communities to improve the food economy the availability accessibility and quality of food and assit the county government and its communities in the coordination of their efforts,may,explore,,
f the council may recommend to the county government and its communities the adoption of measures that will improve existing and add new programs projects regulations or services when needed,council,the adoption of measures that will improve existing and add new programs projects regulations or services when needed,may,recommend,to the county government and its communities,
g the council may prioritize and recommend potential food policies and intiatives for the county government and its communities to adopt and implement related to 1 economic vitality of food and farming sectors 2 public health and quality of life 3 transportation and infrastructure 4 land water and natural resource conservation and management 5 food insecurity 6 education 7 referrals to social services 8 direct service of food 9 direct and indirect purchase of food 10 advocacy before state and federal legislatures and agencies 11 support of private efforts and 12 and other direct and indirect issues related to the food and agricultural system,council,potential food policies and intiatives for the county government and its communities to adopt and implement related to economic vitality of food and farming sectors public health and quality of life transportation and infrastructure land water and natural resource conservation and management food insecurity education referrals to social services direct service of food direct and indirect purchase of food advocacy before state and federal legislatures and agencies support of private efforts and and other direct and indirect issues related to the food and agricultural system,may,prioritize and recommend,,
council members will a. prioritize issues for council action,council members,issues for council action,will,prioritize,,
council members will b. serve on the council 's subcomittees,council members,,will,serve,on the council subcomittees,
council members will c. assume a leadership role within the community related to food issues,council members,a leadership role related to food issues,will,assume,within the community,
council members will d. bring areas of concern to the attention of the council,council members,areas of concern,will,bring,to the attention of the council,
-LSB- council members will e. serve as the eyes and ears of the council in the broader community,council members,,will,serve,as the eyes and ears of the council in the broader community,
council members will f. attend meetings and public events as necessary,council members,meetings and public events,will,attend,as necessary,
-LSB- council members will g. participate in special council activities and events,council members,,will,participate,in special council activities and events,
council members will h. identify opporunities for promoting food programs and other efforts intended to reach the goals of the county food policy,council members,opporunities for promoting food programs and other efforts intended to reach the goals of the county food policy,will,identify,,
-LSB- council members will i. identify and recommend leaders in the community for appointment to the council and,council members,leaders in the community,will,identify and recommend,for appointment to the council,
council members will j. elect a representative to attend serve report and correspond with the new mexico food and agriculture food policy council,council members,a representative to attend serve report and correspond with the new mexico food and agriculture food policy council,will,elect,,
the council will report to the board of county commissioners on at least a quartely basis,the council,,will,report,to the board of county commissioners on at least a quartely basis,
the council shall consist of thirteen members appointed by the board of 11 county commissioners,the council,of thirteen members appointed by the board of 11 county commissioners,shall,consist,,
eight members shall be from private sector non-government employees and those not under contract with a government agency,eight members,private sector non-government employees and those not under contract with a government agency,shall,be from,,
and five shall be government employees of which two shall be employees of the city of grant,five,government employees of which two shall be employees of the city of grant,shall,be,,
members shall reside in grant county new mexico,members,,shall,reside,in grant county new mexico,
and shall have expertise in relevant fields and to the extent possible,,expertise in relevant fields,shall,have,,
represent the diversity of the community in aspects such as culture gender age and geography,,the diversity of the community in aspects such as culture gender age and geography,,represent,,
and five shall be government employees of which two shall be employees of the city of grant,five government employees,,shall,be,,
of the eight private sector members all should be actively engaged in at least one program service or business related to food insecurity public health or economic development of the local food system including the production processing and distribution of food,eight private sector members all,,should,be actively engaged,in at least one program service or business related to food insecurity public health or economic development of the local food system including the production processing and distribution of food,
private sector members may represent the food industry non-profits consumers educators and dieticians,private sector members,the food industry non-profits consumers educators and dieticians,may,represent,,
from among these at least one should represent agriculture,at least one,agriculture,should,represent,,
one should represent food or nutrition education,one,food or nutrition education,should,represent,,
and one should represent the for-profit food industry,one,the for-profit food industry,should,represent,,
representation from related state federal and local governments should be encouraged including but not limited to the women infants and children wic program administered by the new mexico department of health the supplemental nutrition assistance program snap administered by the income support division of the new mexico human services department the county extension office administered by the new mexico department of agriculture and the new mexico state university and those involved in food or nutrition education and public health,,representation from related state federal and local governments the women infants and children wic program administered by the new mexico department of health the supplemental nutrition assistance program administered by the income support division of the new mexico human services department the county extension office administered by the new mexico department of agriculture and the new mexico state university and those involved in food or nutrition education and public health,should,be encouraged,,
the council shall elect a chair and co-chair,council,a chair and co-chair,shall,elect,,
the chairs may appoint sub-committees and sub-committee chairpersons as needed,chairs,sub-committees and sub-committee chairpersons,may,appoint,as needed,
subcommittees may also include non-council members from the public or private sectors,subcommittees,non-council members from the public or private sectors,may,include,,
of the initial appointments six of the members four private sector and two government sector shall be appointed for two year terms and seven four private sector and three government sector shall be appointed for three year terms,,six of the members four private sector and two government sector four private sector and three government sector,shall shall,be appointed be appointed,for two year terms for three year terms,
seven four private sector and three government sector shall be appointed for three year terms,,seven four private sector and three government sector,shall,be appointed,for three year terms,
