Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
(2) A handling operation that is a retail food establishment or portion of a retail food establishment that handles organically produced agricultural products but does not process them is exempt from the requirements in this part.,[the United States Department of Agriculture],[must],is exempt,A handling operation that is a retail food establishment or portion of a retail food establishment that handles organically produced agricultural products but does not process them,,,,,,
"A handling operation or portion of a handling operation that only handles agricultural products that contain less than 70 percent organic ingredients by total weight of the finished product (excluding water and salt) is exempt from the requirements in this part, except:",[the United States Department of Agriculture],[must],is exempt,A handling operation or portion of a handling operation that only handles agricultural products that contain less than 70 percent organic ingredients by total weight of the finished product (excluding water and salt),,,,,,
(i) The provisions for prevention of contact of organic products with prohibited substances set forth in §205.272 with respect to any organically produced ingredients used in an agricultural product;,,,,,,,,,,
(ii) The labeling provisions of §§205.305 and 205.310; and,,,,,,,,,,
(iii) The recordkeeping provisions in paragraph (c) of this section.,,,,,,,,,,
"A handling operation or portion of a handling operation that only identifies organic ingredients on the information panel is exempt from the requirements in this part, except:",[the United States Department of Agriculture],[must],is exempt ,A handling operation or portion of a handling operation that only identifies organic ingredients on the information panel,,,,,,
(i) The provisions for prevention of contact of organic products with prohibited substances set forth in §205.272 with respect to any organically produced ingredients used in an agricultural product;,,,,,,,,,,
(ii) The labeling provisions of §§205.305 and 205.310; and,,,,,,,,,,
(iii) The recordkeeping provisions in paragraph (c) of this section.,,,,,,,,,,
"A handling operation or portion of a handling operation is excluded from the requirements of this part, except for the requirements for the prevention of commingling and contact with prohibited substances as set forth in §205.272 with respect to any organically produced products, if such operation or portion of the operation only sells organic agricultural products labeled as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” that:",[The United States Department of Agriculture],[must],is excluded,A handling operation or portion of a handling operation,,,,,,
(i) Are packaged or otherwise enclosed in a container prior to being received or acquired by the operation; and,,,,,,,,,,
(ii) Remain in the same package or container and are not otherwise processed while in the control of the handling operation.,,,,,,,,,,
"A handling operation that is a retail food establishment or portion of a retail food establishment that processes, on the premises of the retail food establishment, raw and ready-to-eat food from agricultural products that were previously labeled as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” is excluded from the requirements in this part, except:",[The United States Department of Agriculture],[must],is excluded,"A handling operation that is a retail food establishment or portion of a retail food establishment that processes, on the premises of the retail food establishment, raw and ready-to-eat food from agricultural products that were previously labeled as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”",,,,,,
(i) The requirements for the prevention of contact with prohibited substances as set forth in §205.272; and,,,,,,,,,,
(ii) The labeling provisions of §205.310.,,,,,,,,,,
Any handling operation exempt from certification pursuant to paragraph (a)(3) or (a)(4) of this section must maintain records sufficient to:,Any handling operation exempt from certification pursuant to paragraph (a)(3) or (a)(4) of this section,must,maintain,records,,,,,,
(i) Prove that ingredients identified as organic were organically produced and handled; ,,,,,,,,,,
and (ii) Verify quantities produced from such ingredients.,[Any handling operation exempt from certification pursuant to paragraph (a)(3) or (a)(4) of this section],[must],[maintain],[records],,,,,,
Records must be maintained for no less than 3 years beyond their creation ,[Any handling operation exempt from certification pursuant to paragraph (a)(3) or (a)(4) of this section],must,be maintained,Records,,,,,,
and the operations must allow representatives of the Secretary and the applicable State organic programs' governing State official access to these records for inspection and copying during normal business hours to determine compliance with the applicable regulations set forth in this part.,the operations [Any handling operation exempt from certification pursuant to paragraph (a)(3) or (a)(4) of this section],must ,allow ,representatives of the Secretary and the applicable State organic programs' governing State official,,,,,,
"Any agricultural product that is sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” must be: (a) Produced in accordance with the requirements specified in §205.101 or §§205.202 through 205.207 or §§205.236 through 205.240 and all other applicable requirements of part 205",[the producer],must,be: Produced,"Any agricultural product that is sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”",,,,,,
and (b) Handled in accordance with the requirements specified in §205.101 or §§205.270 through 205.272 and all other applicable requirements of this part 205.,[the handler],[must],[be:] Handled,"[Any agricultural product that is sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",,,,,,
"A certified operation must maintain records concerning the production, harvesting, and handling of agricultural products that are or that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)).”",A certified operation,must,maintain,"records concerning the production, harvesting, and handling of agricultural products that are or that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)).”",,,,,,
Such records must:,[A certified operation],must,Be adapted ,"Such records [records concerning the production, harvesting, and handling of agricultural products that are or that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)).”]",,,,,,
(1) Be adapted to the particular business that the certified operation is conducting;,,,,,,,,,,
Fully disclose all activities and transactions of the certified operation in sufficient detail as to be readily understood and audited;,[A certified operation],[must],disclose,all activities and transactions of the certified operation ,,,,,,
Be maintained for not less than 5 years beyond their creation; ,[A certified operation],[must],Be maintained ,"[Such records] [records concerning the production, harvesting, and handling of agricultural products that are or that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)).”]",,,,,,
and,[A certified operation],[must],demonstrate compliance with,the Act and the regulations in this part.,,,,,,
(4) Be sufficient to demonstrate compliance with the Act and the regulations in this part.,,,,,,,,,,
"The certified operation must make such records available for inspection and copying during normal business hours by authorized representatives of the Secretary, the applicable State program's governing State official, and the certifying agent.",The certified operation,must ,make available for inspection,"such records [records concerning the production, harvesting, and handling of agricultural products that are or that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)).”]",,,,,,
"To be sold or labeled as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)),” the product must be produced ...without the use of:",[the producer],must,be produced,the product,,,,,,
"(a) Synthetic substances and ingredients, except as provided in §205.601 or §205.603;",,,,,,,,,,
(b) Nonsynthetic substances prohibited in §205.602 or §205.604;,,,,,,,,,,
"(c) Nonagricultural substances used in or on processed products, except as otherwise provided in §205.605;",,,,,,,,,,
"(d) Nonorganic agricultural substances used in or on processed products, except as otherwise provided in §205.606;",,,,,,,,,,
"(e) Excluded methods, except for vaccines: Provided, That, the vaccines are approved in accordance with §205.600(a);",,,,,,,,,,
"(f) Ionizing radiation, as described in Food and Drug Administration regulation, 21 CFR 179.26; and",,,,,,,,,,
(g) Sewage sludge.,,,,,,,,,,
"To be sold or labeled as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)),” the product must be ...handled without the use of:",[the handler],must,be handled,the product,,,,,,
"(a) Synthetic substances and ingredients, except as provided in §205.601 or §205.603;",,,,,,,,,,
(b) Nonsynthetic substances prohibited in §205.602 or §205.604;,,,,,,,,,,
"(c) Nonagricultural substances used in or on processed products, except as otherwise provided in §205.605;",,,,,,,,,,
"(d) Nonorganic agricultural substances used in or on processed products, except as otherwise provided in §205.606;",,,,,,,,,,
"(e) Excluded methods, except for vaccines: Provided, That, the vaccines are approved in accordance with §205.600(a);",,,,,,,,,,
"(f) Ionizing radiation, as described in Food and Drug Administration regulation, 21 CFR 179.26; and",,,,,,,,,,
(g) Sewage sludge.,,,,,,,,,,
"The producer or handler of a production or handling operation intending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” must comply with the applicable provisions of this subpart. ","The producer or handler of a production or handling operation intending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” ",must,comply with,the applicable provisions of this subpart.,,,,,,
"Production practices implemented in accordance with this subpart must maintain or improve the natural resources of the operation, including soil and water quality.",[the producer],must ,maintain or improve,"the natural resources of the operation, including soil and water quality.",,,,,,
"The producer or handler of a production or handling operation, except as exempt or excluded under §205.101, intending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” must develop an organic production or handling system plan that is agreed to by the producer or handler and an accredited certifying agent. ","The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”",must ,develop ,an organic production or handling system plan,,,,,,
An organic system plan must meet the requirements set forth in this section for organic production or handling. ,"[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",must,meet ,the requirements set forth in this section for organic production or handling. ,,,,,,
An organic production or handling system plan must include:,"[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",must,include:,"A description of practices and procedures to be performed and maintained, including the frequency with which they will be performed",,,,,,
"(1) A description of practices and procedures to be performed and maintained, including the frequency with which they will be performed;",,,,,,,,,,
"A list of each substance to be used as a production or handling input, indicating its composition, source, location(s) where it will be used, and documentation of commercial availability, as applicable;","[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",[must],[include:],"A list of each substance to be used as a production or handling input, ",,,,,,
"A description of the monitoring practices and procedures to be performed and maintained, including the frequency with which they will be performed, to verify that the plan is effectively implemented;","[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",[must],[include:],A description of the monitoring practices and procedures to be performed and maintained,,,,,,
A description of the recordkeeping system implemented to comply with the requirements established in §205.103;,"[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",[must],[include:],A description of the recordkeeping system implemented,,,,,,
A description of the management practices and physical barriers established to prevent commingling of organic and nonorganic products on a split operation and to prevent contact of organic production and handling operations and products with prohibited substances,"[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",[must],[include:],A description of the management practices and physical barriers established,,,,,,
and Additional information deemed necessary by the certifying agent to evaluate compliance with the regulations.,"[The producer or handler of a production or handling operationintending to sell, label, or represent agricultural products as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",[must],[include:],Additional information deemed necessary by the certifying agent to evaluate compliance with the regulations.,,,,,,
"A producer may substitute a plan prepared to meet the requirements of another Federal, State, or local government regulatory program for the organic system plan: Provided, That, the submitted plan meets all the requirements of this subpart.",A producer,may,substitute ,"a plan prepared to meet the requirements of another Federal, State, or local government regulatory program for the organic system plan:",,,,,,
"Any field or farm parcel from which harvested crops are intended to be sold, labeled, or represented as “organic,” must: (a) Have been managed in accordance with the provisions of §§205.203 through 205.206;",[the producer],must,Have been managed,"Any field or farm parcel from which harvested crops are intended to be sold, labeled, or represented as “organic,”",,,,,,
"Have had no prohibited substances, as listed in §205.105, applied to it for a period of 3 years immediately preceding harvest of the crop; ",[the producer],[must not],applied to,"Any field or farm parcel from which harvested crops are intended to be sold, labeled, or represented as “organic,”",,,,,,
"Have distinct, defined boundaries and buffer zones such as runoff diversions to prevent the unintended application of a prohibited substance to the crop or contact with a prohibited substance applied to adjoining land that is not under organic management.",[the producer],[must],defined,boundaries and buffer zones such as runoff diversions to prevent the unintended application of a prohibited substance to the crop or contact with a prohibited substance applied to adjoining land that is not under organic management.,,,,,,
"The producer must select and implement tillage and cultivation practices that maintain or improve the physical, chemical, and biological condition of soil and minimize soil erosion.",The producer,must,select and implement,"tillage and cultivation practices that maintain or improve the physical, chemical, and biological condition of soil and minimize soil erosion.",,,,,,
"The producer must manage crop nutrients and soil fertility through rotations, cover crops, and the application of plant and animal materials.",The producer,must,manage ,crop nutrients and soil fertility,,,,,,
"The producer must manage plant and animal materials to maintain or improve soil organic matter content in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, pathogenic organisms, heavy metals, or residues of prohibited substances. ",The producer,must ,manage,"plant and animal materials to maintain or improve soil organic matter content in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, pathogenic organisms, heavy metals, or residues of prohibited substances. ",,,,,,
Animal and plant materials include:,[The producer],,include:,Raw animal manure,,,,,,
"(1) Raw animal manure, which must be composted unless it is:",,,,,,,,,,
(i) Applied to land used for a crop not intended for human consumption;,,,,,,,,,,
(ii) Incorporated into the soil not less than 120 days prior to the harvest of a product whose edible portion has direct contact with the soil surface or soil particles; or,,,,,,,,,,
(iii) Incorporated into the soil not less than 90 days prior to the harvest of a product whose edible portion does not have direct contact with the soil surface or soil particles;,,,,,,,,,,
Composted plant and animal materials produced though a process that:,[The producer],,[include:],Composted plant and animal materials,,,,,,
(i) Established an initial C:N ratio of between 25:1 and 40:1; and,,,,,,,,,,
(ii) Maintained a temperature of between 131 °F and 170 °F for 3 days using an in-vessel or static aerated pile system; or,,,,,,,,,,
"(iii) Maintained a temperature of between 131 °F and 170 °F for 15 days using a windrow composting system, during which period, the materials must be turned a minimum of five times.",,,,,,,,,,
Uncomposted plant materials.,[The producer],,[include:],Uncomposted plant materials.,,,,,,
"(d) A producer may manage crop nutrients and soil fertility to maintain or improve soil organic matter content in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, pathogenic organisms, heavy metals, or residues of prohibited substances by applying:",A producer ,may ,manage,"crop nutrients and soil fertility to maintain or improve soil organic matter content in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, pathogenic organisms, heavy metals, or residues of prohibited substances",,,,,,
(1) A crop nutrient or soil amendment included on the National List of synthetic substances allowed for use in organic crop production;,,,,,,,,,,
(2) A mined substance of low solubility;,,,,,,,,,,
"(3) A mined substance of high solubility: Provided, That, the substance is used in compliance with the conditions established on the National List of nonsynthetic materials prohibited for crop production;",,,,,,,,,,
"(4) Ash obtained from the burning of a plant or animal material, except as prohibited in paragraph (e) of this section: Provided, That, the material burned has not been treated or combined with a prohibited substance or the ash is not included on the National List of nonsynthetic substances prohibited for use in organic crop production; and",,,,,,,,,,
"(5) A plant or animal material that has been chemically altered by a manufacturing process: Provided, That, the material is included on the National List of synthetic substances allowed for use in organic crop production established in §205.601.",,,,,,,,,,
The producer must not use:,The producer,must not,use:,Any fertilizer or composted plant and animal material,,,,,,
(1) Any fertilizer or composted plant and animal material that contains a synthetic substance not included on the National List of synthetic substances allowed for use in organic crop production;,,,,,,,,,,
(2) Sewage sludge (biosolids) as defined in 40 CFR part 503; ,[The producer],[must not],[use:],Sewage sludge (biosolids) as defined in 40 CFR part 503; ,,,,,,
"(3) Burning as a means of disposal for crop residues produced on the operation: Except, That, burning may be used to suppress the spread of disease or to stimulate seed germination.",[The producer],[must not],[use:] Burning,crop residues produced on the operation:,,,,,,
"(a) The producer must use organically grown seeds, annual seedlings, and planting stock: Except, That,",The producer ,must,use,"organically grown seeds, annual seedlings, and planting stock:",,,,,,
"(1) Nonorganically produced, untreated seeds and planting stock may be used to produce an organic crop when an equivalent organically produced variety is not commercially available: Except, That, organically produced seed must be used for the production of edible sprouts;",,,,,,,,,,
(2) Nonorganically produced seeds and planting stock that have been treated with a substance included on the National List of synthetic substances allowed for use in organic crop production may be used to produce an organic crop when an equivalent organically produced or untreated variety is not commercially available;,,,,,,,,,,
(3) Nonorganically produced annual seedlings may be used to produce an organic crop when a temporary variance has been granted in accordance with §205.290(a)(2);,,,,,,,,,,
"(4) Nonorganically produced planting stock to be used to produce a perennial crop may be sold, labeled, or represented as organically produced only after the planting stock has been maintained under a system of organic management for a period of no less than 1 year; and",,,,,,,,,,
"(5) Seeds, annual seedlings, and planting stock treated with prohibited substances may be used to produce an organic crop when the application of the materials is a requirement of Federal or State phytosanitary regulations.",,,,,,,,,,
"The producer must implement a crop rotation including but not limited to sod, cover crops, green manure crops, and catch crops that provide the following functions that are applicable to the operation:",The producer ,must,implement,"a crop rotation including but not limited to sod, cover crops, green manure crops, and catch crops that provide the following functions that are applicable to the operation:",,,,,,
(a) Maintain or improve soil organic matter content;,,,,(a) Maintain or improve soil organic matter content;,,,,,,
(b) Provide for pest management in annual and perennial crops;,,,,(b) Provide for pest management in annual and perennial crops;,,,,,,
(c) Manage deficient or excess plant nutrients; and,,,,(c) Manage deficient or excess plant nutrients; and,,,,,,
(d) Provide erosion control.,,,,(d) Provide erosion control.,,,,,,
"(a) The producer must use management practices to prevent crop pests, weeds, and diseases including but not limited to:",The producer,must,use ,management practices including but not limited to:,,,,,,
"(1) Crop rotation and soil and crop nutrient management practices, as provided for in §§205.203 and 205.205;",,,,"(1) Crop rotation and soil and crop nutrient management practices, as provided for in §§205.203 and 205.205;",,,,,,
"(2) Sanitation measures to remove disease vectors, weed seeds, and habitat for pest organisms; and",,,,"(2) Sanitation measures to remove disease vectors, weed seeds, and habitat for pest organisms; and",,,,,,
"(3) Cultural practices that enhance crop health, including selection of plant species and varieties with regard to suitability to site-specific conditions and resistance to prevalent pests, weeds, and diseases.",,,,"(3) Cultural practices that enhance crop health, including selection of plant species and varieties with regard to suitability to site-specific conditions and resistance to prevalent pests, weeds, and diseases.",,,,,,
(b) Pest problems may be controlled through mechanical or physical methods including but not limited to:,[The producer],may,be controlled ,Pest problems,,,,,,
(1) Augmentation or introduction of predators or parasites of the pest species;,,,,,,,,,,
(2) Development of habitat for natural enemies of pests;,,,,,,,,,,
"(3) Nonsynthetic controls such as lures, traps, and repellents.",,,,,,,,,,
(c) Weed problems may be controlled through:,[The producer],may,be controlled ,Weed problems,,,,,,
(1) Mulching with fully biodegradable materials;,,,,,,,,,,
(2) Mowing;,,,,,,,,,,
(3) Livestock grazing;,,,,,,,,,,
(4) Hand weeding and mechanical cultivation;,,,,,,,,,,
"(5) Flame, heat, or electrical means; or",,,,,,,,,,
"(6) Plastic or other synthetic mulches: Provided, That, they are removed from the field at the end of the growing or harvest season.",,,,,,,,,,
(d) Disease problems may be controlled through:,[The producer],may,be controlled ,Disease problems,,,,,,
(1) Management practices which suppress the spread of disease organisms; or,,,,,,,,,,
"(2) Application of nonsynthetic biological, botanical, or mineral inputs.",,,,,,,,,,
"When the practices provided for in paragraphs (a) through (d) of this section are insufficient to prevent or control crop pests, weeds, and diseases, a biological or botanical substance or a substance included on the National List of synthetic substances allowed for use in organic crop production may be applied to prevent, suppress, or control pests, weeds, or diseases: Provided, That, the conditions for using the substance are documented in the organic system plan.",[The producer],may,be applied,a biological or botanical substance or a substance included on the National List of synthetic substances allowed for use in organic crop production,,,,,,
The producer must not use lumber treated with arsenate or other prohibited materials for new installations or replacement purposes in contact with soil or livestock.,The producer,must not,use,lumber treated with arsenate or other prohibited materials,,,,,,
"A wild crop that is intended to be sold, labeled, or represented as organic must be harvested from a designated area that has had no prohibited substance, as set forth in §205.105, applied to it for a period of 3 years immediately preceding the harvest of the wild crop.",[The producer],must ,be harvested,"A wild crop that is intended to be sold, labeled, or represented as organic",,,,,,
A wild crop must be harvested in a manner that ensures that such harvesting or gathering will not be destructive to the environment and will sustain the growth and production of the wild crop.,[The producer],must ,must be harvested ,A wild crop.,,,,,,
"(a) Livestock products that are to be sold, labeled, or represented as organic must be from livestock under continuous organic management from the last third of gestation or hatching: Except, That:",[The producer],must,manage organically,"Livestock products that are to be sold, labeled, or represented as organic",,,,,,
(1) Poultry. Poultry or edible poultry products must be from poultry that has been under continuous organic management beginning no later than the second day of life;,,,,,,,,,,
"(2) Dairy animals. Milk or milk products must be from animals that have been under continuous organic management beginning no later than 1 year prior to the production of the milk or milk products that are to be sold, labeled, or represented as organic, Except, ",,,,,,,,,,
"(i) That, crops and forage from land, included in the organic system plan of a dairy farm, that is in the third year of organic management may be consumed by the dairy animals of the farm during the 12-month period immediately prior to the sale of organic milk and milk products; and",,,,,,,,,,
"(ii) That, when an entire, distinct herd is converted to organic production, the producer may, provided no milk produced under this subparagraph enters the stream of commerce labeled as organic after June 9, 2007: (a) For the first 9 months of the year, provide a minimum of 80-percent feed that is either organic or raised from land included in the organic system plan and managed in compliance with organic crop requirements; and (b) Provide feed in compliance with §205.237 for the final 3 months.",,,,,,,,,,
"(iii) Once an entire, distinct herd has been converted to organic production, all dairy animals shall be under organic management from the last third of gestation.Breeder stock. Livestock used as breeder stock may be brought from a nonorganic operation onto an organic operation at any time: Provided, That, if such livestock are gestating and the offspring are to be raised as organic livestock, the breeder stock must be brought onto the facility no later than the last third of gestation.",,,,,,,,,,
The following are prohibited:,"[The producer, handler, certifier ]",must not,"sold, labled or represented",Livestock or edible livestock products,,,,,,
"(1) Livestock or edible livestock products that are removed from an organic operation and subsequently managed on a nonorganic operation may be not sold, labeled, or represented as organically produced",,,,,,,,,,
"Breeder or dairy stock that has not been under continuous organic management since the last third of gestation may not be sold, labeled, or represented as organic slaughter stock.","[The producer, handler, certifier ]",may not,"be sold, labeled, or represented",Breeder or dairy stock ,,,,,,
The producer of an organic livestock operation must maintain records sufficient to preserve the identity of all organically managed animals and edible and nonedible animal products produced on the operation.,The producer of an organic livestock operation,must,maintain,records ,,,,,,
"The producer of an organic livestock operation must provide livestock with a total feed ration composed of agricultural products, including pasture and forage, that are organically produced and handled by operations certified to the NOP, except as provided in §205.236(a)(2)(i), except, that, synthetic substances allowed under §205.603 and nonsynthetic substances not prohibited under §205.604 may be used as feed additives and feed supplements, Provided, That, all agricultural ingredients included in the ingredients list, for such additives and supplements, shall have been produced and handled organically.",The producer of an organic livestock operation,must,provide,livestock,,,,,,
The producer of an organic operation must not:,The producer of an organic operation,must not,Use,"animal drugs, including hormones, ",,,,,,
"(1) Use animal drugs, including hormones, to promote growth;",,,,,,,,,,
Provide feed supplements or additives in amounts above those needed for adequate nutrition and health maintenance for the species at its specific stage of life;,[The producer of an organic operation],[must not],provide,[livestock],,,,,,
Feed plastic pellets for roughage;,[The producer of an organic operation],[must not],Feed,[livestock],,,,,,
Feed formulas containing urea or manure;,[The producer of an organic operation],[must not],Feed,[livestock],,,,,,
Feed mammalian or poultry slaughter by-products to mammals or poultry;,[The producer of an organic operation],[must not],Feed,mammals or poultry;,,,,,,
"Use feed, feed additives, and feed supplements in violation of the Federal Food, Drug, and Cosmetic Act;",[The producer of an organic operation],[must not],use,"feed, feed additives, and feed supplements ",,,,,,
Provide feed or forage to which any antibiotic including ionophores has been added; ,[The producer of an organic operation],[must not],provide,[livestock],,,,,,
"Prevent, withhold, restrain, or otherwise restrict ruminant animals from actively obtaining feed grazed from pasture during the grazing season, except for conditions as described under §205.239(b) and (c).",[The producer of an organic operation],[must not],"Prevent, withhold, restrain, or otherwise restrict",ruminant animals,,,,,,
"During the grazing season, producers shall:",producers ,shall: not [must not],Provide ,[ruminant animals ],,,,,,
(1) Provide not more than an average of 70 percent of a ruminant's dry matter demand from dry matter fed (dry matter fed does not include dry matter grazed from residual forage or vegetation rooted in pasture). ,,,,,,,,,,
This shall be calculated as an average over the entire grazing season for each type and class of animal. ,[producers],shall [must],be calculated,This [an average of 70 percent of a ruminant's dry matter],,,,,,
"Ruminant animals must be grazed throughout the entire grazing season for the geographical region, which shall be not less than 120 days per calendar year. ",[producers],must ,be grazed,Ruminant animals,,,,,,
"Due to weather, season, and/or climate, the grazing season may or may not be continuous",,may or may not ,,the grazing season,,,,,,
"(2) Provide pasture of a sufficient quality and quantity to graze throughout the grazing season and to provide all ruminants under the organic system plan with an average of not less than 30 percent of their dry matter intake from grazing throughout the grazing season: Except, That,",[producers],[shall] [must],Provide,all ruminants ,,,,,,
"(i) Ruminant animals denied pasture in accordance with §205.239(b)(1) through (8), and §205.239(c)(1) through (3), shall be provided with an average of not less than 30 percent of their dry matter intake from grazing throughout the periods that they are on pasture during the grazing season;",,,,,,,,,,
"(ii) Breeding bulls shall be exempt from the 30 percent dry matter intake from grazing requirement of this section and management on pasture requirement of §205.239(c)(2); Provided, That, any animal maintained under this exemption shall not be sold, labeled, used, or represented as organic slaughter stock.",,,,,,,,,,
Ruminant livestock producers shall:,Ruminant livestock producers,shall [must],Describe,the total feed ration,,,,,,
(1) Describe the total feed ration for each type and class of animal. ,,,,,,,,,,
The description must include:,[Ruminant livestock producers],must ,include:,"All feed produced on-farm;All feed produced on-farm; All feed purchased from off-farm sources; The percentage of each feed type, including pasture, in the total ration; and A list of all feed supplements and additives.",,,,,,
(i) All feed produced on-farm;,,,,,,,,,,
(ii) All feed purchased from off-farm sources;,,,,,,,,,,
"(iii) The percentage of each feed type, including pasture, in the total ration; and",,,,,,,,,,
(iv) A list of all feed supplements and additives.,,,,,,,,,,
Document the amount of each type of feed actually fed to each type and class of animal.,[Ruminant livestock producers],[shall] [must],Document ,the amount of each type of feed actually fed to each type and class of animal.,,,,,,
Document changes that are made to all rations throughout the year in response to seasonal grazing changes.,[Ruminant livestock producers],[shall] [must],Document ,changes that are made to all rations throughout the year,,,,,,
Provide the method for calculating dry matter demand and dry matter intake.,[Ruminant livestock producers],[shall] [must],Provide,the method for calculating dry matter demand and dry matter intake.,,,,,,
