Raw Institutional Statement,Attribute,oBject,Deontic,aIm,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"The purpose of these proposed rules is to: 1. Require all fish in Colorado aquaculture holding and aquaculture production facilities to be certified as Viral Hemorrhagic Septicemia (“VHS”)-free in accordance to Colorado Division of Wildlife Chapter 0 Regulations. 2. Reduce the aquaculture facility permit fee from $150.00 to $100.00. 3. Correct several typographical errors, delete obsolete language, and to add a section to contain the statements of basis, specific statutory authority and purpose.",[Colorado Department of Agriculture],purpose of these proposed rules,,is,"to: 1. Require all fish in Colorado aquaculture holding and aquaculture production facilities to be certified as Viral Hemorrhagic Septicemia (“VHS”)-free in accordance to Colorado Division of Wildlife Chapter 0 Regulations. 2. Reduce the aquaculture facility permit fee from $150.00 to $100.00. 3. Correct several typographical errors, delete obsolete language, and to add a section to contain the statements of basis, specific statutory authority and purpose.",,,,,
"The amendments to these rules are proposed to the Commissioner of the Colorado Department of Agriculture (“Commissioner”) for his adoption pursuant to his authority under the Aquaculture Act (the “Act”), § 35-24.5-107(1) and (5), C.R.S.",[Colorado Department of Agriculture],amendments to these rules,,are proposed,"to the Commissioner of the Colorado Department of Agriculture (“Commissioner”) for his adoption pursuant to his authority under the Aquaculture Act (the “Act”), § 35-24.5-107(1) and (5), C.R.S.",,,,,
"The purpose of these proposed rules is to: 1. Define “aquaculture facility permit” to comport with the current definition as codified within the Aquaculture Act, § 35-24.5-103(2), C.R.S.",[Colorado Department of Agriculture] ,purpose of these proposed rules,,is,"to 1. Define “aquaculture facility permit” to comport with the current definition as codified within the Aquaculture Act, § 35-24.5-103(2), C.R.S.",,,,,
"[The purpose of these proposed rules is to:] 2. Define the common, biological term “Gamete(s)” as it specifically relates to fish and aquaculture.",[Colorado Department of Agriculture],purpose of these proposed rules,,is,"to 2. Define the common, biological term “Gamete(s)” as it specifically relates to fish and aquaculture",,,,,
"[The purpose of these proposed rules is to:] 3. Clarify aquaculture facility permitting requirements for the  ollowing groups of persons in the following ways: a. To articulate that a broker who never physically possesses a live fish or viable gamete does not need a permit; b. To create an exemption for those persons who sell live fish to individuals from grocery stores, fish markets, and restaurants, but to maintain the requirement that those who transport live fish to these types of outlets must have a permit; c. To distinguish bait dealers who propagate, transport, or release live fish or viable gametes into state waters from those who do not such that only bait dealers who propagate, transport, or release live fish or viable gametes into state waters need a permit...d. To maintain the exemption from requiring a permit for those who hold live fish or viable gametes in closed aquaria or backyard ponds, including those facilities that are municipal, state, or federal facilities or any accredited zoological garden; and e. To clarify that persons transporting live fish or viable gametes that have been legally obtained for a non-commercial, personal use in aquaria or backyard ponds or as bait do not need a permit.",[Colorado Department of Agriculture],purpose of these proposed rules,,is,"to: 3. Clarify aquaculture facility permitting requirements for the  ollowing groups of persons in the following ways: a. To articulate that a broker who never physically possesses a live fish or viable gamete does not need a permit; b. To create an exemption for those persons who sell live fish to individuals from grocery stores, fish markets, and restaurants, but to maintain the requirement that those who transport live fish to these types of outlets must have a permit; c. To distinguish bait dealers who propagate, transport, or release live fish or viable gametes into state waters from those who do not such that only bait dealers who propagate, transport, or release live fish or viable gametes into state waters need a permit...d. To maintain the exemption from requiring a permit for those who hold live fish or viable gametes in closed aquaria or backyard ponds, including those facilities that are municipal, state, or federal facilities or any accredited zoological garden; and e. To clarify that persons transporting live fish or viable gametes that have been legally obtained for a non-commercial, personal use in aquaria or backyard ponds or as bait do not need a permit.",,,,,
"...Those who do not undertake these specified activities do not need such a permit as long as they obtain their live fish and viable gametes from a Division fish health certified source, maintain records of fish acquisition, and provide their customers receipts for sale of live fish and viable gametes...",Those who do not undertake these specified activities,such a permit [aquaculture facility permit] ,do not [must not] ,need,"as long as they obtain their live fish and viable gametes from a Division fish health certified source, maintain records of fish acquisition, and provide their customers receipts for sale of live fish and viable gametes",,,,,
"[The purpose of these proposed rules is to:] 4. To articulate and clarify the results of non-compliance with the provisions of the rule and to allow the Commissioner to set the time limit for disposal of live fish and viable gametes in the event that a permit is denied, suspended, or revoked.",[Colorado Department of Agriculture],purpose of these proposed rules,,is,"to 4. To articulate and clarify the results of non-compliance with the provisions of the rule and to allow the Commissioner to set the time limit for disposal of live fish and viable gametes in the event that a permit is denied, suspended, or revoked",,,,,
[The purpose of these proposed rules is to:] 5. To establish record-keeping requirements of bait dealers who are exempt from the permitting requirements of the Aquaculture Act.,[Colorado Department of Agriculture] ,purpose of these proposed rules,,is,to 5. To establish record-keeping requirements of bait dealers who are exempt from the permitting requirements of the Aquaculture Act,,,,,
"[The purpose of these proposed rules is to:] 6. To move this rule within the Code of Colorado Regulations from the Markets Division (8 CCR 1204-7) to the Animal Industry Division (8 CCR 1201-21) to reflect a reorganization of the
Aquaculture Act to the Animals Division within the Colorado Department of Agriculture.",[Colorado Department of Agriculture] ,purpose of these proposed rules,,is ,"to 6. To move this rule within the Code of Colorado Regulations from the Markets Division (8 CCR 1204-7) to the Animal Industry Division (8 CCR 1201-21) to reflect a reorganization of the
Aquaculture Act to the Animals Division within the Colorado Department of Agriculture",,,,,
"[The purpose of these proposed rules is to:] 7. To make general changes to language within the rule to ensure consistency with the newly proposed definitions, emptions, and other changes.",[Colorado Department of Agriculture] ,purpose of these proposed rules,,is,"to  7. To make general changes to language within the rule to ensure consistency with the newly proposed definitions, emptions, and other changes",,,,,
