Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"...2. Make recommendations to the Department on the adoption of policies to advance the goals for the Council set forth in this Order.

",[Council],[shall],make,recommendations on the adoption of policies to advance the goals for the Council set forth in this Order,to the Department,N/A,,,,
"...3. Recommend policies or activities intended to increase spending of food dollars on Michigan-grown and Michigan-processed foods by 10 percent.
",[Council],[shall],recommend,policies or activities intended to increase spending of food dollars on Michigan-grown and Michigan-processed foods by 10 percent,[at all times],N/A,,,,
...4. Advise the Department regarding the “Select Michigan” program.,[Council],[shall],advise,the Department,"regarading the ""Select Michigan"" program",N/A,,,,
"The efforts of the Council are intended to positively impact the entire state with a special emphasis on school children, low-income families, and individuals in both urban and rural areas.",,,,,,,,,,
" The Council shall be staffed and assisted by personnel from the Department of Agriculture, as directed by the Director of the Department of Agriculture. ",Council,shall,be staffed and assisted,N/A,"by personnel from the Department of Agriculture, as directed by the Director of the Department of Agriculture",N/A,,,,
"The budgeting, procurement, and related management functions of the Council shall be performed under the direction and supervision of the Director of the Department of Agriculture.",Council,shall,be performed [perform],"The budgeting, procurement, and related management functions of the Council ",under the direction and supervision of the Director of the Department of Agriculture,N/A,,,,
The Council shall adopt procedures consistent with Michigan law and this Order governing its organization and operations.,Council,shall,adopt,procedures,consistent with Michigan law and this Order governing its organization and operations,N/A,,,,
A majority of the members of the Council serving constitutes a quorum for the transaction of the Council’s business. ,A majority of the members of the Council serving,[shall],constitute,a quorum,[at all times],N/A,,,,
The Council shall act by a majority vote of its serving members.,Council,shall,act,N/A,by a majority vote of its serving members,N/A,,,,
The Council shall meet at the call of the Chairperson and as may be provided in procedures adopted by the Council.,Council,shall,meet,N/A,at the call of the Chairperson and as may be provided in procedures adopted by the Council,N/A,,,,
The Council may establish committees... and request public participation on workgroups as the Council deems necessary.  ,Council,may,establish,committees,[at all times],N/A,,,,
and request public participation on workgroups as the Council deems necessary.,[Council],[may],request,public participation on workgroups,as the Council deems necessary,N/A,,,,
"The Council may also adopt, reject, or modify any recommendations proposed by a committee or a workgroup.",Council,may,"adopt, reject, or modify",any recommendations proposed by a committee or a workgroup,also,N/A,,,,
"The Council may, as appropriate, make inquiries, studies, investigations",Council,may,make,"inquiries, studies, investigations",as appropriate,N/A,,,,
"..., hold hearings",[Council],[may],hold ,hearings,[as appropriate},N/A,,,,
"..., and receive comments from the public.",[Council],[may],receive ,comments,from the public [as appropriate],N/A,,,,
"The Council may also consult with outside experts in order to perform its duties, including, but not limited to, experts in the private sector, organized labor, government agencies, and at institutions of higher education.",Council,may,consult with,"outside experts…experts in the private sector, organized labor, government agencies, and at institutions of higher education",in order to perform its duties,N/A,,,,
Members of the Council shall serve without compensation.,Members of the Council,shall,serve,N/A,without compensation,N/A,,,,
"Members of the Council may receive reimbursement for necessary travel and expenses according to relevant statutes and the rules and procedures of the Department of Management and Budget and the Civil Service Commission, subject to available funding.",Members of the Council,may,receive ,reimbursement,"for necessary travel and expenses according to relevant statutes and the rules and procedures of the Department of Management and Budget and the Civil Service Commission, subject to available funding",N/A,,,,
"The Council may hire or retain contractors, sub-contractors, advisors, consultants, and agents…",Council,may,hire or retain,"contractors, sub-contractors, advisors, consultants, and agents",[at all times],N/A,,,,
"...and may make and enter into contracts necessary or incidental to the exercise of the powers of the Council and the performance of its duties as the Director of the Department deems advisable and necessary, in accordance with this Order, and the relevant statutes, rules, and procedures of the Department of Management and Budget and the Civil Service Commission.",[Council],[may],[make or enter into], contracts necessary or incidental to the exercise of the powers of the Council and the performance of its duties,"irector of the Department deems advisable and necessary, in accordance with this Order, and the relevant statutes, rules, and procedures of the Department of Management and Budget and the Civil Service Commission",N/A,,,,
"The Council may accept donations of labor, services, or other things of value from any public or private agency or person, including, but not limited to, support from Michigan State University, the Michigan Integrated Food and Farming System, the Food Bank Council of Michigan, and the W.K. Kellogg Foundation.",Council,may,accept,"donations of labor, services, or other things of value…including, but not limited to, support","from any public or private agency or person, ... from Michigan State University, the Michigan Integrated Food and Farming System, the Food Bank Council of Michigan, and the W.K. Kellogg Foundation",N/A,,,,
"Members of the Council shall refer all legal, legislative, and media contacts to the Department.",Members of the council,shall,refer,"all legal, legislative, and media contacts",to the Department,N/A,,,,
"All departments, committees, commissioners, or officers of this state or of any political subdivision of this state shall give to the Council, or to any member or representative of the Council any necessary assistance required by the Council, or any member or representative of the Council, in the performance of the duties of the Council so far as is compatible with its, his, or her duties.","All departments, committees, commissioners, or officers of this state or of any political subdivision of this state ",shall,give,"any necessary assistance required by the Council, or any member or representative of the Council, in the performance of the duties of the Council","to the Council…so far as is compatible with its, his, or her duties",N/A,,,,
"Free access shall also be given to any books, records, or documents in its, his, or her custody, relating to matters within the scope of inquiry, study, or investigation of the Council.","[All departments, committees, commissioners, or officers of this state or of any political subdivision of this state] ",shall,be given [give],"free access to any books, records, or documents in its, his, or her custody, relating to matters within the scope of inquiry, study, or investigation of the Council",also,N/A,,,,
"Any suit, action, or other proceeding lawfully commenced by, against, or before any entity affected by this Order shall not abate by reason of the taking effect of this Order",[State],shall not,abate,"Any suit, action, or other proceeding lawfully commenced by, against, or before any entity affected by this Order",by reason of the taking effect of this Order,N/A,,,,
The invalidity of any portion of this Order shall not affect the validity of the remainder of the Order.,[State],shall not,affect,the validity of the remainder of the Order,[with] The invalidity of any portion of this Order ,N/A,,,,
This Order is effective upon filing.,[State],[shall],be effective [effect] ,this order,upon filing,N/A,,,,
"Given under my hand and the Great Seal of the State of Michigan this 7th day of June, in the year of our Lord, two thousand and five.",,,,,,,,,,
