Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
[Council members will]: i. identify and recommend leaders in the community for appointment to the Council; and,[Council members],will [shall],identify and recommend,leaders in the community,for appointment to the Council,N/A,,,,
"[Council members will]: j. Elect a representative to attend, serve, report and correspond with the New Mexico Food and Agriculture Food Policy Council",[Council members],will [shall],elect,"a representative to attend, serve, report and correspond with the New Mexico Food and Agriculture Food Policy Council",[at all times],N/A,,,,
The Council will report to the Board of County Commissioners on at least a quartely basis,Council,will [shall],report,N/A,to the Board of County Commissioners on at least a quartely basis,N/A,,,,
"The Council  shall consist  of thirteen  members appointed by the Board of 11  County  Commissioners. 
",Council,shall ,consist of,thirteen  members appointed by the Board of 11  County  Commissioners,[at all times],N/A,,,,
Eight members shall be from private sector (non-government employees and those not under contract with a government agency),Eight members [of the Council],shall ,be from,private sector (non-government employees and those not under contract with a government agency)…[private sector members],[at all times],N/A,,,,
"…and five shall be government employees, of which two shall be employees of the City of Grant",Five [members of the Council],shall ,be,"government employees, of which two shall be employees of the City of Grant",[at all times],N/A,,,,
"Members shall reside in Grant County, New Mexico…",Members,shall ,reside ,N/A,"in Grant County, New Mexico",N/A,,,,
"…and shall have expertise in relevant fields, and to the extent possible…",[Members] ,shall ,have,expertise in relevant fields,N/A,N/A,,,,
"represent the diversity of the community in aspects such as culture, gender, age, and geography",[Members] ,shall ,represent,"the diversity of the community in aspects such as culture, gender, age, and geography",to the extent possible,N/A,,,,
"…and five shall be government employees, of which two shall be employees of the City of Grant",County employee members,shall ,be,The County Manager or his/her disagree; and one member from the County Planning Department with the largest involvement in food-related issues and services or as otherwise appointed by the County Board of Commissioners,[at all times],N/A,,,,
"Of the eight private sector members, all should be actively engaged in at least one program, service, or business related to food insecurity, public health, or economic development of the local food system, including the production, processing,  and distribution of food. ",All eight private sector members,should,be engaged,N/A,"actively in at least one program, service, or business related to food insecurity, public health, or economic development of the local food system, including the production, processing,  and distribution of food",N/A,,,,
"Private sector members may represent the food industry, non-profits, consumers, educators, and dieticians.",Private sector members,may ,represent,"the food industry, non-profits, consumers, educators, and dieticians",[at all times],N/A,,,,
"From among these, at least one should represent agriculture…",At least one private sector member,should,represent,agriculture,[at all times],N/A,,,,
...one should represent food or nutrition education…,One private sector member,should,represent,food or nutrition education,[at all times],N/A,,,,
...and one should represent the for-profit food industry…,One private sector member,should,represent,the for-profit food industry,[at all times],N/A,,,,
"Representation from related state, federal, and local governments should be encouraged including (but not limited to) the women, infants, and children (WIC) program administered by the New Mexico Department of Health, the Supplemental Nutrition Assistance Program (SNAP) administered by the Income Support Division of the New Mexico Human Services Department, the County Extension Office administered by the New Mexico Department of Agriculture, and the New Mexico  State  University, and those involved  in food or nutrition education  and public health.
",[Appointing Authority],should,be encouraged [encourage],"Representation from related state, federal, and local governments including (but not limited to) the women, infants, and children (WIC) program administered by the New Mexico Department of Health, the Supplemental Nutrition Assistance Program (SNAP) administered by the Income Support Division of the New Mexico Human Services Department, the County Extension Office administered by the New Mexico Department of Agriculture, and the New Mexico  State  University, and those involved  in food or nutrition education  and public health",[at all times],N/A,,,,
The Council  shall elect a Chair and Co-Chair.,Council,shall ,elect,a Chair and Co-Chair,[at all times],N/A,,,,
"The Chairs may appoint sub-committees and sub-committee chairpersons as needed.
",Council Chairs,may,appoint,sub-committees and sub-committee chairpersons,as needed,N/A,,,,
"Subcommittees may also include  non-Council members  from the public or private  sectors.
",Subcommittees,may,include,non-Council members  from the public or private  sectors,[at all times],N/A,,,,
"Of the initial appointments, six of the mmbers (four private sector and two government sector)  shall be appointed  for two year terms and... seven (four private
sector and three government sector)  shall be appointed  for three year terms. 
",Board of Commissioners,shall ,be appointed [appoint],six of the members (four private sector and two government sector),for two year terms,N/A,,,,
"seven (four private
sector and three government sector)  shall be appointed  for three year terms",Board of Commissioners,shall ,be appointed [appoint],"seven (four private
sector and three government sector) ",for three year terms,N/A,,,,
"Subsequent terms shall be for three years to maintain  staggering of terms.
",Board of Commissioners,shall ,be appointed [appoint],subsequent terms,for three years to maintain the staggering of terms,N/A,,,,
"There  shall  be no limitation  to the number of consecutive terms a member  may serve. 
",Board of Commissioners,shall [not],be [place],limitation to the number of consecutive terms a member  may serve,[at all times],N/A,,,,
The Chairs shall serve for a two year term.,Council Chairs,shall,serve,N/A,for two year terms,N/A,,,,
After three consecutive unexcused absences a Council  member shall be automatically removed…,Board of Commissioners,shall,remove ,a council member,after three consecutive unexcused absences,N/A,,,,
"...and notified
thereof by the Chair.
",Chair,[shall],notify,[a council member being removed],thereof [removal],N/A,,,,
"Vacancies shall be filled in the same manner  as initial appointments... 
",Board of Commissioners,shall,be filled [fill],vacancies,in the same manner as initial appointments,N/A,,,,
"and
shall be for the remainder of the unexpired  term. ",Board of Commissioners,shall,[be filled [fill]],vacancies,for the remainder of the unexpired term,N/A,,,,
"Members may be removed  by the Board of County Commissioners as originally appointed,  with or without  cause
",Board of County Commissioners,may,be removed [remove],members,"as originally appointed, with our without cause",N/A,,,,
A quorum shall be at least seven members.,at least seven members ,shall ,be [constitute],a quorum,[at all times],N/A,,,,
"The Council will meet at least quarterly...
",Council,shall,meet,N/A,at least quarterly,N/A,,,,
"...and shall conduct all meetings in accordance with the New Mexico Open
Meetings Act and adopted County policies and procedures.
",[Council],shall,conduct,all meetings,"in accordance with the New Mexico Open
Meetings Act and adopted County policies and procedures.",N/A,,,,
"The Healthy Kids, Healthy Communities program of Grant County will serve as the initial primary liaison to the Council.  
","The Healthy Kids, Healthy Communities program of Grant County",shall,serve,N/A,as the initial primary liaison to the Council.,N/A,,,,
The County will provide stenographic services;…,County ,will ,provide,stenographic services,[at all times],N/A,,,,
"...however, the County may agree to rotate, on an annual basis, the primary liaison and stenographic services responsibilities. 
",County,may,agree to rotate, the primary liaison and stenographic services responsibilities,on an annual basis,N/A,,,,
"The Council may also use support from the
state or federal governments or the private sector as needed. 
",Council,may,use ,"support from the
state or federal governments or the private sector",also as needed,N/A,,,,
"The Council may request assistance from all departments in the County in the performance of its duties in order that the County food policy may be realized.
",Council,may ,request,assistance,from all departments in the County in the performance of its duties in order that the County food policy may be realized,N/A,,,,
"This resolution supersedes Resolution No. R-10-37, which was adopted in 2010.",[Board of County Commissioners],N/A,supersedes,"Resolution No. R-10-37, which was adopted in 2010",[with] this resolution,N/A,,,,
