Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"The purpose of the council shall be to develop recommendations to advance the following food system goals for the commonwealth: (A) increased production, sales and consumption of Massachusetts-grown foods; (B) the development and promotion of programs that deliver healthy Massachusetts-grown foods to Massachusetts residents, through programs such as: (i) targeted state subsidies; (ii) increased state purchasing of local products for school and summer meals and other child and adult care programs; (iii) double coupon initiatives; (iv) direct market subsidies to communities with identified needs; (v) increased institutional purchases of Massachusetts-grown foods and other programs to make access to healthy Massachusetts products affordable, and (vi) increased access to healthy Massachusetts-grown foods in communities with disproportionate burdens of obesity and chronic diseases; (C) the protection of the land and water resources required for sustained local food production; and (D) the training, retention and recruitment of farmers and providing for the continued economic viability of local food production, processing and distribution in the commonwealth.",,,,,,,,,,
"Recommendations the council shall consider shall include, but shall not be limited to, methods by which the following may contribute to achieving the food system goals: (i) increased collaboration and communication between state agencies; (ii) increased collaboration and communication between state and federal agencies; (iii) innovative public-private partnerships; (iv) institutional purchasing agreements; (v) changes to state or federal laws or regulations; (vi) changes in the manner in which state and federal programs are implemented; and (7) additional federal, state, local or private investments. ",[Council],shall,include [but not be limited to],"recommendations [about] methods by which the following may contribute to achieving the food system goals: (i) increased collaboration and communication between state agencies; (ii) increased collaboration and communication between state and federal agencies; (iii) innovative public-private partnerships; (iv) institutional purchasing agreements; (v) changes to state or federal laws or regulations; (vi) changes in the manner in which state and federal programs are implemented; and (7) additional federal, state, local or private investments. ",[at all times],N/A,,,,
Recommendations of the council shall include benchmarks and criteria for measuring progress towards achieving each goal.,Council,shall,include,benchmarks and criteria for measuring progress towards achieving each goal,[in their] recommendations,N/A,,,,
"In developing its recommendations, the council shall solicit public input through public hearings or informational sessions.",Council,shall ,solicit,public input,through public hearings or informational sessions in developing its recommendations,N/A,,,,
The council may conduct research and analysis as needed... and invite additional stakeholder participation through its advisory committee or other committees to address issues identified by the council as requiring further study or particular expertise.,Council,may ,conduct,research and anlaysis,as needed,N/A,,,,
…and invite additional stakeholder participation through its advisory committee or other committees to address issues identified by the council as requiring further study or particular expertise,[Council],[may],invite ,additional stakeholder participation to address issues identified by the council as requiring further study or particular expertise, through its advisory committee or other committees,N/A,,,,
 The council shall review progress made on each of its recommendations based upon the benchmarks and criteria developed. ,Council,shall,review,progress made on each of its recommendations,based upon the benchmarks and criteria developed,N/A,,,,
"The council shall submit an annual report of its findings, conclusions, proposals, recommendations and progress towards reaching benchmarks provided in subsection (d) not later than December 31. ",Council,shall,submit,"an annual report of its findings, conclusions, proposals, recommendations and progress towards reaching benchmarks provided in subsection (d)",not later than December 31,N/A,,,,
"The report shall be submitted to the governor, the president of the senate, the speaker of the house, the chairs of the joint committee on public health, the chairs of the joint committee on environment, natural resources and agriculture, the clerk of the house of representatives and the clerk of the senate. ",[Council],shall,be submitted [submit],[annual] report,"to the governor, the president of the senate, the speaker of the house, the chairs of the joint committee on public health, the chairs of the joint committee on environment, natural resources and agriculture, the clerk of the house of representatives and the clerk of the senate",N/A,,,,
"The council shall meet periodically at the call of the chair, but not less than 4 times annually. ",Council,shall,meet,N/A,"periodically at the call of the chair, but not less than 4 times annually",N/A,,,,
All meetings shall be public. ,[Council],shall,be [make],all meetings,public,N/A,,,,
"The council shall keep a public record of all meetings, votes and other business. ",Council,shall,keep ,"a public record of all meetings, votes and other business",[at all times],N/A,,,,
