Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"In the event of a member's inability to serve or resignation, the responsible body shall appoint another person to serve for the remainder of the unexpired term so created",Responsible body [Lawrence City Commission or the Douglas County Commission],shall ,appoint,another person,to serve for the remainder of the unexpired term so created in the event of a member's inability to serve or resignation,N/A,,,,
"No member shall serve more than two consecutive terms as a member, except that: a) vacant, unexpired terms may be filled by appointment of standing council members otherwise ineligible for reappointment; and b) if an appointment expired before the City Commission or the County Commission has appointed a replacement member, then the member whose term has expired shall serve until a successor has been appointed",Members,shall [not],serve,N/A,"more than two consecutive terms as a member, except that: a) vacant, unexpired terms may be filled by appointment of standing council members otherwise ineligible for reappointment; and b) if an appointment expired before the City Commission or the County Commission has appointed a replacement member, then the member whose term has expired shall serve until a successor has been appointed",N/A,,,,
Council member attendance is expected at every meeting of the DCFPC,Council members,is expected [shall],attendance [attend],every meeting of the DCFPC,[at all times],N/A,,,,
"In the event of three consecutive, unexcused absences, a Council member may be asked to resign from the Council",DCFPC,may ,be asked [ask] ,a council member,"to resign in the event of three consecutive, unexcused absences",N/A,,,,
Both the City and County shall provide staff support to the DCFPC as available and necessary,City and County,shall ,provide,staff support,to the DCFPC as available and necessary,N/A,,,,
The DCFPC shall prepare bylaws to govern the Commissioner's structure and decision makig process…,DCFPC,shall,prepare,bylaws to govern the Commissioner's structure and decision making process,[at all times],N/A,,,,
…and shall submit said bylaws to the City and County for joint approval,[DCFPC],shall,submit,bylaws, to the City and County for joint approval,N/A,,,,
All meetings of DCFPC shall be held in compliance with the Kansas Open Meetings Act…,DCFPC,shall,be held [hold],all meetings,in compliance with the Kansas Open Meetings Act,N/A,,,,
…and its records shall be subject to the Kansas Open Records Act,[Subjecting Authority],shall,be subject [subject],DCFPC,to the Kansas Open Records Act,N/A,,,,
Either the City or County may withdraw its support for the DCFC... ,City or County,may ,withdraw,its support for the DCFC,[at all times],N/A,,,,
and terminate the DCFPC's role with respect to such body upon not less than thirty days notice to the other governmental body,[City or County],[may] ,terminate,the DCFPC's role with respect to such body [County],not less than thirty days notice to the other governmental body,N/A,,,,
This resolution shall only take effect and shall be in full force from and after its adoption by the last to adopt this resolution of either the City or the County,[Douglas County],shall,take effect and be in full force,this resolution,only from and after its adoption by the last to adopt this resolution of either the City or the County,N/A,,,,
