Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"...AND MAY INCLUDE PERSONS APPOINTED BY THE CHAIR AND THE
VICE-CHAIR OF THE COUNCIL WHO ARE NOT MEMBERS OF THE COUNCIL.",[Council],may ,include,"PERSONS APPOINTED BY THE CHAIR AND THE
VICE-CHAIR OF THE COUNCIL WHO ARE NOT MEMBERS OF THE COUNCIL",[on] the subcommittees,N/A,,,,
"THE COUNCIL MAY ENGAGE IN ANY OTHER ACTIVITY THE
COUNCIL DETERMINES IS NECESSARY TO ACCOMPLISH THE PURPOSES
OUTLINED IN THIS ARTICLE.",Council,may ,engage in,"ANY OTHER ACTIVITY THE
COUNCIL DETERMINES IS NECESSARY TO ACCOMPLISH THE PURPOSES
OUTLINED IN THIS ARTICLE",[at all times],N/A,,,,
"FOR THE PURPOSES OF CARRYING OUT THE DUTIES OF THE COUNCIL, THE
COUNCIL IS AUTHORIZED TO SEEK AND ACCEPT GIFTS, GRANTS, OR
DONATIONS, INCLUDING IN-KIND DONATIONS, FROM PRIVATE OR PUBLIC
SOURCES FOR THE PURPOSES OF THIS ARTICLE…",Council,may ,seek and accept,"GIFTS, GRANTS, OR
DONATIONS, INCLUDING IN-KIND DONATIONS, FROM PRIVATE OR PUBLIC
SOURCES FOR THE PURPOSES OF THIS ARTICLE",[at all times],N/A,,,,
"...EXCEPT THAT THE COUNCIL
MAY NOT ACCEPT A GIFT, GRANT, OR DONATION THAT IS SUBJECT TO
CONDITIONS THAT ARE INCONSISTENT WITH THIS ARTICLE OR ANY OTHER
LAW OF THE STATE.",Counil,may not,accept,"A GIFT, GRANT, OR DONATION THAT IS SUBJECT TO
CONDITIONS THAT ARE INCONSISTENT WITH THIS ARTICLE OR ANY OTHER
LAW OF THE STATE.",[at all times],N/A,,,,
"THE COUNCIL MAY ACCEPT IN-KIND DONATIONS OF
STAFF SERVICES FROM THE PRIVATE SECTOR TO STAFF THE COUNCIL.",Council,may ,accept,"IN-KIND DONATIONS OF
STAFF SERVICES FROM THE PRIVATE SECTOR TO STAFF THE COUNCIL.",[at all times],N/A,,,,
"THE
COUNCIL IS ALSO AUTHORIZED TO ACCEPT AND EXPEND FEDERAL FUNDS
AVAILABLE FOR FOOD POLICY COUNCILS.",Council,may ,accept and expend ,federal funds available for food policy councils,[at all times],N/A,,,,
"ALL PRIVATE AND PUBLIC MONEYS
RECEIVED THROUGH GIFTS, GRANTS, OR DONATIONS SHALL BE TRANSMITTED
TO THE STATE TREASURER…",[Council],shall,be transmitted [transmit] ,"ALL PRIVATE AND PUBLIC MONEYS
RECEIVED THROUGH GIFTS, GRANTS, OR DONATIONS ",to the State Treasurer,N/A,,,,
"...WHO SHALL CREDIT THE SAME TO THE FOOD
SYSTEMS ADVISORY COUNCIL FUND, WHICH FUND IS HEREBY CREATED AND
REFERRED TO IN THIS SECTION AS THE ""FUND"".",State Treasurer,shall ,credit,THE SAME [amount in funds received],"TO THE FOOD
SYSTEMS ADVISORY COUNCIL FUND, WHICH FUND IS HEREBY CREATED AND
REFERRED TO IN THIS SECTION AS THE ""FUND""",N/A,,,,
"THE MONEYS IN THE FUND
SHALL BE SUBJECT TO ANNUAL APPROPRIATION BY THE GENERAL ASSEMBLY
TO THE DEPARTMENT OF AGRICULTURE FOR ALLOCATION TO THE COUNCIL
FOR THE DIRECT AND INDIRECT COSTS ASSOCIATED WITH IMPLEMENTING THIS
ARTICLE.","GENERAL ASSEMBLY
TO THE DEPARTMENT OF AGRICULTURE",shall,be subject [subject] ,moneys in the fund [Council Fund],"to annual appropriation FOR ALLOCATION TO THE COUNCIL
FOR THE DIRECT AND INDIRECT COSTS ASSOCIATED WITH IMPLEMENTING THIS
ARTICLE",N/A,,,,
"ANY MONEYS IN THE FUND NOT EXPENDED FOR THE PURPOSE OF
THIS ARTICLE MAY BE INVESTED BY THE STATE TREASURER AS PROVIDED BY
LAW.",State Treasurer,may,be invested [invest] ,"ANY MONEYS IN THE FUND NOT EXPENDED FOR THE PURPOSE OF
THIS ARTICLE",as provided by law,N/A,,,,
"ALL INTEREST AND INCOME DERIVED FROM THE INVESTMENT AND
DEPOSIT OF MONEYS IN THE FUND SHALL BE CREDITED TO THE FUND.",[State Treasurer],shall ,credit,"ALL INTEREST AND INCOME DERIVED FROM THE INVESTMENT AND
DEPOSIT OF MONEYS IN THE FUND",to the fund,N/A,,,,
"ANY
UNEXPENDED AND UNENCUMBERED MONEYS REMAINING IN THE FUND AT
THE END OF A FISCAL YEAR SHALL REMAIN IN THE FUND.... .",[State Treasurer],shall ,remain [keep],"ANY
UNEXPENDED AND UNENCUMBERED MONEYS REMAINING IN THE FUND AT
THE END OF A FISCAL YEAR",[at all times],N/A,,,,
"AND SHALL NOT REVERT OR BE CREDITED OR TRANSFERRED TO THE GENERAL FUND OR
ANOTHER FUND…",[State Treasurer],shall not,revert or be credited [credit],"ANY
UNEXPENDED AND UNENCUMBERED MONEYS REMAINING IN THE FUND AT
THE END OF A FISCAL YEAR",to the general fund or another fund,N/A,,,,
"EXCEPT THAT, IF, AT THE TIME THIS ARTICLE IS REPEALED
PURSUANT TO SECTION 24-37.3-107, THE FUND CONTAINS A BALANCE OF
UNENCUMBERED AND UNEXPENDED MONEYS, THOSE MONEYS SHALL REVERT
TO THE GENERAL FUND",[State Treasurer],shall,revert,"ANY
UNEXPENDED AND UNENCUMBERED MONEYS REMAINING IN THE FUND AT
THE END OF A FISCAL YEAR","IF, AT THE TIME THIS ARTICLE IS REPEALED
PURSUANT TO SECTION 24-37.3-107, THE FUND CONTAINS A BALANCE OF
UNENCUMBERED AND UNEXPENDED MONEYS",N/A,,,,
"MONEYS IN THE FUND MAY BE USED FOR THE FOLLOWING
PURPOSES:
(a) THE ACTUAL AND NECESSARY EXPENSES INCURRED BY MEMBERS
OF THE COUNCIL FOR SERVING ON THE COUNCIL;
(b) THE COSTS OF STAFFING THE COUNCIL; AND
(c) THE COSTS OF PREPARING AND SUBMITTING THE ANNUAL REPORT
REQUIRED BY SECTION 24-37.3-106.",[Council and Council members],may,be used [use],moneys in the fund [Council Fund],"FOR THE FOLLOWING
PURPOSES:
(a) THE ACTUAL AND NECESSARY EXPENSES INCURRED BY MEMBERS
OF THE COUNCIL FOR SERVING ON THE COUNCIL;
(b) THE COSTS OF STAFFING THE COUNCIL; AND
(c) THE COSTS OF PREPARING AND SUBMITTING THE ANNUAL REPORT
REQUIRED BY SECTION 24-37.3-106.",N/A,,,,
"IT IS THE INTENT OF THE GENERAL ASSEMBLY THAT NO MONEYS
FROM THE GENERAL FUND BE APPROPRIATED FOR THE COUNCIL. ",[State Treasurer],may not/shall not,appropriate,moneys from the General Fund,for the Counil,N/A,,,,
"IT IS ALSO
THE INTENT OF THE GENERAL ASSEMBLY THAT NO STATE EMPLOYEES BE
HIRED TO IMPLEMENT THIS ARTICLE... ",[Dept. of Agriculture],may not/must not,be hired [hire] ,state employees,to implement this article,N/A,,,,
"...AND THAT THE ADMINISTRATIVE COSTS
OF PROVIDING FISCAL SUPPORT TO THE COUNCIL BE ABSORBED BY THE
DEPARTMENT OF AGRICULTURE.",Dept. of Agriculture,may not/must not,be absorebed/absorb,"THE ADMINISTRATIVE COSTS
OF PROVIDING FISCAL SUPPORT TO THE COUNCIL",[at all times],N/A,,,,
"IF THE COUNCIL DOES NOT RECEIVE SUFFICIENT MONEYS
THROUGH GIFTS, GRANTS, AND DONATIONS PURSUANT TO SUBSECTION (1) OF
THIS SECTION TO CARRY OUT THE DUTIES OF THE COUNCIL, THE COUNCIL
SHALL NOT MEET…",Council,shall not,meet,N/A,"IF THE COUNCIL DOES NOT RECEIVE SUFFICIENT MONEYS
THROUGH GIFTS, GRANTS, AND DONATIONS PURSUANT TO SUBSECTION (1) OF
THIS SECTION TO CARRY OUT THE DUTIES OF THE COUNCIL",N/A,,,,
"...AND SHALL NOT PREPARE AN ANNUAL REPORT PURSUANT
TO SECTION 24-37.3-106 UNTIL SUCH TIME AS SUFFICIENT MONEYS BECOME
AVAILABLE.",[Council],shall not,prepare,"AN ANNUAL REPORT PURSUANT
TO SECTION 24-37.3-106 ","UNTIL SUCH TIME AS SUFFICIENT MONEYS BECOME
AVAILABLE.",N/A,,,,
"COMMENCING
OCTOBER 1, 2011, AND ON OR BEFORE OCTOBER 1 OF EACH YEAR
THEREAFTER, THE COUNCIL SHALL REPORT ITS FINDINGS AND
RECOMMENDATIONS, INCLUDING ANY LEGISLATIVE PROPOSALS OR
PROPOSALS FOR ADMINISTRATIVE ACTION, TO THE GENERAL ASSEMBLY, THE
GOVERNOR, AND THE COMMISSIONER OF AGRICULTURE PURSUANT TO
SECTION 24-1-136 (9).",Council,shall,report,"ITS FINDINGS AND
RECOMMENDATIONS, INCLUDING ANY LEGISLATIVE PROPOSALS OR
PROPOSALS FOR ADMINISTRATIVE ACTION","TO THE GENERAL ASSEMBLY, THE
GOVERNOR, AND THE COMMISSIONER OF AGRICULTURE PURSUANT TO
SECTION 24-1-136 (9). COMMENCING
OCTOBER 1, 2011, AND ON OR BEFORE OCTOBER 1 OF EACH YEAR
THEREAFTER,",N/A,,,,
"NO LATER THAN JANUARY 31, 2012, AND EVERY
JANUARY THEREAFTER, THE COUNCIL SHALL ALSO REPORT ITS FINDINGS AND
RECOMMENDATIONS, INCLUDING ANY LEGISLATIVE PROPOSALS, TO THE HOUSE HEALTH AND HUMAN SERVICES COMMITTEE; THE SENATE HEALTH
AND HUMAN SERVICES COMMITTEE; THE HOUSE AGRICULTURE, LIVESTOCK,
AND NATURAL RESOURCES COMMITTEE; AND THE SENATE AGRICULTURE AND
NATURAL RESOURCES COMMITTEE OR THEIR SUCCESSOR COMMITTEES.",Council,shall,report,"REPORT ITS FINDINGS AND
RECOMMENDATIONS, INCLUDING ANY LEGISLATIVE PROPOSALS,","also TO THE HOUSE HEALTH AND HUMAN SERVICES COMMITTEE; THE SENATE HEALTH
AND HUMAN SERVICES COMMITTEE; THE HOUSE AGRICULTURE, LIVESTOCK,
AND NATURAL RESOURCES COMMITTEE; AND THE SENATE AGRICULTURE AND
NATURAL RESOURCES COMMITTEE OR THEIR SUCCESSOR COMMITTEES. NO LATER THAN JANUARY 31, 2012, AND EVERY
JANUARY THEREAFTER",N/A,,,,
"THIS ARTICLE IS REPEALED,
EFFECTIVE JULY 1, 2013. PRIOR TO SUCH REPEAL, THE FOOD SYSTEMS
ADVISORY COUNCIL SHALL BE REVIEWED AS PROVIDED FOR IN SECTION
2-3-1203, C.R.S.",,,,,,,,,,
"In addition to any other
appropriation, there is hereby appropriated, out of any moneys in the food
systems advisory council fund created in section 24-37.3-105, Colorado
Revised Statutes, not otherwise appropriated, to the department of
agriculture, for allocation to the Colorado food systems advisory council,
for the fiscal year beginning July 1, 2010, the sum of twenty-two thousand
five hundred thirty-one dollars ($22,531) cash funds, or so much thereof as
may be necessary, for the implementation of this act.",,,,,,,,,,
"This act
shall take effect at 12:01 a.m. on the day following the expiration of the
ninety-day period after final adjournment of the general assembly (August
11, 2010, if adjournment sine die is on May 12, 2010); except that, if a
referendum petition is filed pursuant to section 1 (3) of article V of the state
constitution against this act or an item, section, or part of this act within
such period, then the act, item, section, or part shall not take effect unless
approved by the people at the general election to be held in November 2010 and shall take effect on the date of the official declaration of the vote
thereon by the governor.",,,,,,,,,,
